Sample_CID,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,class_x,y
2723790,8,76.12069,-0.303827,20,0.068482,0.372309,55.93,75.97,26.95,13.85,43.175,24.29716187,8,3.265,3.6,6.42,6.53,0.394561934,1,6.00E-05,0.0002,7.718039,7.983028,27.9399,636.79698,1.3395,-44.16958,74.48854,387.1318,187.82718,199.30462,0.00068321,0.05379593,-0.04937088,0.00149211,0.223283,0.05153995,1.40187087,14.87,85.13,9.17308,18.6485,0.48313557,0.01135404,-37.68163,-12.75776,-0.7995094,0.057542,-0.8,84.1,29,2,1,0,4,0,0,0,0,0,0,1,1,1
4936,50,350.47285,-0.2997,94,0.061482,0.361182,17.7,11.32,14.37,7.18,12.6425,3.877836865,50,8.055,8.335,10.901,15.306,0.443112732,0.95009311,1.170092,5.336304,4.877098,27.440937,230.4695,2981.69713,1.3172,-49.70433,36.17925,1434.58859,758.97713,675.61146,-0.00250688,0.01669317,-0.02407608,0.00052607,0.16337167,0.02044261,0.54885656,46.05,53.95,11.25597,17.589,0.50058638,0.00150068,-46.36959,-16.46289,-1.0085238,0.03569,5,64,454,0,5,7,24,3,0,3,0,0,0,1,1,42
28207,28,194.23075,-0.262068,52,0.062154,0.324222,13.45,12.46,10.54,11.48,11.9825,1.085688146,27,6.813,4.71,7.864,13.55,0.518680141,0.994422428,0.532036,1.99135,5.632403,23.457651,195.9301,1668.25774,1.3047,-48.28181,58.84523,876.51831,493.45693,383.06138,-0.00105465,0.02220937,-0.03102319,0.0007597,0.2496582,0.02620432,0.70916228,41.47,58.53,10.64192,17.45335,0.50862354,0.00219435,-46.57147,-19.67371,-1.0734793,0.057568,0.7,64.4,197,2,3,3,14,0,0,0,0,0,0,1,1,4
157882,52,341.54912,-0.300017,93,0.128053,0.42807,6.04,38.76,3.85,3.89,13.135,14.82110741,50,9.841,5.346,9.233,19.682,0.574472432,1,0.884801,2.860269,4.153642,23.822284,280.6423,3035.2298,1.261,-42.92986,27.49701,1499.54107,977.69954,521.84153,-0.00065913,0.01406154,-0.02823914,0.00045161,0.08933107,0.0192004,0.5168899,50.42,49.58,9.42929,17.67518,0.50745572,0.00146458,-43.00044,-20.79665,-0.9524541,0.017869,2.4,67.4,211,1,7,14,21,0,0,0,0,0,0,1,0,0
33176,41,357.78829,-0.269103,93,0.000264,0.269367,11.33,8.91,12.87,6.77,9.97,2.325037634,38,7.712,8.009,10.76,15.131,0.446342183,0.981003631,1.263212,5.554471,8.377155,29.115261,135.47,2712.25766,1.4782,-48.71427,72.07079,1322.09568,607.02314,715.07254,-0.00081716,0.02623305,-0.02378001,0.00072335,0.24092649,0.02484717,0.67773469,38.07,61.93,10.78151,18.43375,0.51219473,0.00213035,-48.95818,-14.78787,-1.0900221,0.073523,4,68.5,506,1,4,5,25,0,0,0,0,0,0,1,0,0
9955578,52,454.40544,-0.283355,118,0.014132,0.297487,10.72,11.1,11.83,13.34,11.7475,1.002231884,52,8.099,8.48,12.899,15.09,0.413776084,0.931596493,1.426824,5.619462,6.109298,32.719528,570.2391,3320.05,1.5337,-53.1115,63.96697,1637.64741,827.90194,809.74547,-0.00164694,0.01934836,-0.02311302,0.00059376,0.23429662,0.02126577,0.5771486,46.73,53.27,11.3583,18.72553,0.52157636,0.00234494,-61.85455,-19.10073,-1.1929466,0.08512,3.4,116,683,2,9,8,33,1,1,0,0,0,0,1,1,2
65981,69,452.58676,-0.269384,122,0.020606,0.28999,10.15,26.59,10.35,13.01,15.025,6.771829516,69,8.179,10.773,11.292,15.253,0.408730371,0.932448955,1.965323,8.502796,4.741015,35.003791,645.5466,3961.21816,1.2803,-62.56824,58.24269,1808.0274,1003.63464,804.39276,-0.00038989,0.01710002,-0.02221193,0.00071937,0.23139285,0.01942103,0.52720193,55.04,44.96,11.20618,18.18781,0.50231413,0.00148527,-47.07617,-19.22149,-1.0510839,0.047883,5.2,78.9,619,2,5,10,33,1,1,0,0,0,0,1,1,4
22704,18,195.19856,-0.303367,50,-0.034279,0.269088,15.92,11.39,14.9,14.19,14.1,1.681115701,17,5.828,3.6,7.3,11.633,0.516265034,0.998026767,0.000341,0.001215,9.604409,15.672354,395.991,1349.85898,1.6204,-46.68312,69.7245,711.2877,366.92541,344.36228,0.00189183,0.02978039,-0.02782403,0.00124311,0.23953744,0.02881657,0.78459247,41.96,58.04,11.05458,18.90474,0.51584795,0.00335735,-50.81646,-14.28984,-1.1374982,0.110806,2.1,113,220,1,5,0,13,0,0,0,0,0,0,1,1,8
4477,29,327.11999,-0.308819,83,-0.043061,0.265759,9.11,11.85,13.17,8.56,10.6725,1.905785599,28,7.514,4.747,8.943,14.992,0.522697162,0.997604472,0.398681,1.455552,5.613481,25.03071,647.4722,2187.94347,1.6754,-39.29909,53.8996,1092.31597,753.76936,338.54661,0.00812817,0.02215975,-0.02311297,0.00055115,0.24269667,0.02024516,0.61103669,42.01,57.99,11.7678,18.84279,0.51954151,0.00194175,-50.48208,-14.82842,-1.1280587,0.114104,4,95.2,404,2,4,2,21,0,0,0,0,0,0,1,1,45
107930,42,313.82184,-0.276899,83,0.051724,0.328622,8.83,14.39,10.01,7.52,10.1875,2.581224273,41,6.301,7.314,10.882,12.254,0.402430213,0.972385336,1.174908,4.949382,4.491282,25.634836,198.3813,2546.32238,1.3811,-40.67222,60.53175,1158.64851,699.44202,459.20649,0.00169145,0.01660235,-0.02102015,0.00035744,0.24527621,0.01803319,0.49941755,49.34,50.66,9.63682,18.78289,0.49732867,0.00183927,-45.91579,-15.04892,-1.0199995,0.051855,4.4,23.5,403,1,2,0,22,2,2,0,0,0,0,1,1,10
