PUBCHEM_CID,HOMO,LUMO,HOMO_LUMO_Gap,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,Mol_Size_2,Length_Ratio,Len_Div_Diameter,Dipole_Moment,Quadrupole_Moment,ESPmin,ESPmax,Neg_Surface_Area,Overall_Average,Neg_Average,Overall_Variance,Nu,ALIEmin,ALIEmax,ALIE_Ave,LEAmin,LEAmax,LEA_Ave,XLogP,TPSA,Complexity,RotatableBondCount,y,y_class,S_c_tcpl_compliant,S_c_ci_lower_compliant,S_c_ci_upper_compliant,tcpl_binary_compliant,tcpl_ternary_compliant,tcpl_n_tested_compliant,tcpl_n_positive_compliant
2723790,-0.303827,0.068482,0.372309,55.93,75.97,26.95,13.85,43.175,24.29716187,6.42,0.394561934,1.0,7.718039,7.983028,-44.16958,74.48854,199.30462,0.00068321,-0.04937088,0.00149211,0.223283,9.17308,18.6485,0.48313557,-37.68163,-12.75776,-0.7995094,-0.8,84.1,29,0,1,1,0.22510822510822512,0.06818181818181818,0.5,1,1,9,9
4936,-0.2997,0.061482,0.361182,17.7,11.32,14.37,7.18,12.6425,3.877836865,10.901,0.443112732,0.95009311,4.877098,27.440937,-49.70433,36.17925,675.61146,-0.00250688,-0.02407608,0.00052607,0.16337167,11.25597,17.589,0.50058638,-46.36959,-16.46289,-1.0085238,5.0,64.0,454,7,42,1,0.11961849957374254,0.03090366581415175,0.20833333333333331,0,1,9,9
28207,-0.262068,0.062154,0.324222,13.45,12.46,10.54,11.48,11.9825,1.085688146,7.864,0.518680141,0.994422428,5.632403,23.457651,-48.28181,58.84523,383.06138,-0.00105465,-0.03102319,0.0007597,0.2496582,10.64192,17.45335,0.50862354,-46.57147,-19.67371,-1.0734793,0.7,64.4,197,3,4,1,0.5416666666666667,0.25,0.8333333333333334,1,2,2,0
157882,-0.300017,0.128053,0.42807,6.04,38.76,3.85,3.89,13.135,14.82110741,9.233,0.574472432,1.0,4.153642,23.822284,-42.92986,27.49701,521.84153,-0.00065913,-0.02823914,0.00045161,0.08933107,9.42929,17.67518,0.50745572,-43.00044,-20.79665,-0.9524541,2.4,67.4,211,14,0,0,0.375,0.25,0.5,1,2,2,2
33176,-0.269103,0.000264,0.269367,11.33,8.91,12.87,6.77,9.97,2.325037634,10.76,0.446342183,0.981003631,8.377155,29.115261,-48.71427,72.07079,715.07254,-0.00081716,-0.02378001,0.00072335,0.24092649,10.78151,18.43375,0.51219473,-48.95818,-14.78787,-1.0900221,4.0,68.5,506,5,0,0,0.375,0.25,0.5,1,2,2,2
9955578,-0.283355,0.014132,0.297487,10.72,11.1,11.83,13.34,11.7475,1.002231884,12.899,0.413776084,0.931596493,6.109298,32.719528,-53.1115,63.96697,809.74547,-0.00164694,-0.02311302,0.00059376,0.23429662,11.3583,18.72553,0.52157636,-61.85455,-19.10073,-1.1929466,3.4,116.0,683,8,2,1,0.10842092092092093,0.034722222222222224,0.25,0,1,9,9
65981,-0.269384,0.020606,0.28999,10.15,26.59,10.35,13.01,15.025,6.771829516,11.292,0.408730371,0.932448955,4.741015,35.003791,-62.56824,58.24269,804.39276,-0.00038989,-0.02221193,0.00071937,0.23139285,11.20618,18.18781,0.50231413,-47.07617,-19.22149,-1.0510839,5.2,78.9,619,10,4,1,-1.0,-1.0,-1.0,-1,-1,0,0
22704,-0.303367,-0.034279,0.269088,15.92,11.39,14.9,14.19,14.1,1.681115701,7.3,0.516265034,0.998026767,9.604409,15.672354,-46.68312,69.7245,344.36228,0.00189183,-0.02782403,0.00124311,0.23953744,11.05458,18.90474,0.51584795,-50.81646,-14.28984,-1.1374982,2.1,113.0,220,0,8,1,0.48611111111111116,0.25,0.8333333333333334,1,2,3,0
4477,-0.308819,-0.043061,0.265759,9.11,11.85,13.17,8.56,10.6725,1.905785599,8.943,0.522697162,0.997604472,5.613481,25.03071,-39.29909,53.8996,338.54661,0.00812817,-0.02311297,0.00055115,0.24269667,11.7678,18.84279,0.51954151,-50.48208,-14.82842,-1.1280587,4.0,95.2,404,2,45,1,0.3265881239286719,0.03712871287128713,0.9,1,1,9,9
107930,-0.276899,0.051724,0.328622,8.83,14.39,10.01,7.52,10.1875,2.581224273,10.882,0.402430213,0.972385336,4.491282,25.634836,-40.67222,60.53175,459.20649,0.00169145,-0.02102015,0.00035744,0.24527621,9.63682,18.78289,0.49732867,-45.91579,-15.04892,-1.0199995,4.4,23.5,403,0,10,1,0.20833333333333331,0.16666666666666666,0.25,1,1,4,4
