SampleName_x,MolecularFormula,MolecularWeight,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
2018,C10H11NO3,193.2,CC(=O)NC1=CC=C(C=C1)CC(=O)O,CC(=O)NC1=CC=C(C=C1)CC(=O)O,"InChI=1S/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)",MROJXXOCABQVEF-UHFFFAOYSA-N,2-(4-acetamidophenyl)acetic acid,0.8,193.0738932,193.0738932,66.4,219,0,2,3,3,14,0,0,0,0,0,0,0,1
44073,C14H7ClF3NO5,361.65,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)O,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)O,"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)",NUFNQYOELLVIPL-UHFFFAOYSA-N,5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid,3,360.9964845,360.9964845,92.4,484,0,1,8,3,24,0,0,0,0,0,0,0,1
62477,C7H14O2,130.18,CCOC(C=C)OCC,CCOC(C=C)OCC,"InChI=1S/C7H14O2/c1-4-7(8-5-2)9-6-3/h4,7H,1,5-6H2,2-3H3",MCIPQLOKVXSHTD-UHFFFAOYSA-N,"3,3-diethoxyprop-1-ene",1.4,130.0993797,130.0993797,18.5,65,0,0,2,5,9,0,0,0,0,0,0,0,1
564,C6H13NO2,131.17,C(CCC(=O)O)CCN,C(CCC(=O)O)CCN,"InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)",SLXKOJJOQWFEFD-UHFFFAOYSA-N,6-aminohexanoic acid,-3,131.0946287,131.0946287,63.3,83,0,2,3,5,9,0,0,0,0,0,0,0,1
5284341,C12H12ClN,205.68,C1=CC=C(C=C1)C2=CC=C(C=C2)N.Cl,C1=CC=C(C=C1)C2=CC=C(C=C2)N.Cl,"InChI=1S/C12H11N.ClH/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10;/h1-9H,13H2;1H",GUHXYHYUBFCYGJ-UHFFFAOYSA-N,4-phenylaniline;hydrochloride,,205.0658271,205.0658271,26,141,0,2,1,1,14,0,0,0,0,0,0,0,2
3446,C9H17NO2,171.24,C1CCC(CC1)(CC(=O)O)CN,C1CCC(CC1)(CC(=O)O)CN,"InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)",UGJMXCAKCUNAIE-UHFFFAOYSA-N,2-[1-(aminomethyl)cyclohexyl]acetic acid,-1.1,171.1259288,171.1259288,63.3,162,0,2,3,3,12,0,0,0,0,0,0,0,1
1639,C2H4N4,84.08,C1=NNC(=N1)N,C1=NNC(=N1)N,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",KLSJWNVTNUYHDU-UHFFFAOYSA-N,"1H-1,2,4-triazol-5-amine",-0.4,84.04359615,84.04359615,67.6,44,0,2,3,0,6,0,0,0,0,0,0,0,1
14888,As2O3,197.841,[O-2].[O-2].[O-2].[As+3].[As+3],[O-2].[O-2].[O-2].[As+3].[As+3],InChI=1S/2As.3O/q2*+3;3*-2,QTLQKAJBUDWPIB-UHFFFAOYSA-N,arsenic(3+);oxygen(2-),,197.82793,197.82793,3,0,0,0,3,0,5,0,0,0,0,0,0,0,5
23667548,C6H7NaO6,198.11,C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+],C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],"InChI=1S/C6H8O6.Na/c7-1-2(8)5-3(9)4(10)6(11)12-5;/h2,5,7-10H,1H2;/q;+1/p-1/t2-,5+;/m0./s1",PPASLZSBLFJQEF-RXSVEWSESA-M,"sodium;(2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2H-furan-3-olate",,198.0140322,198.0140322,110,237,0,3,6,2,13,0,2,2,0,0,0,0,2
134601,C14H18N2O5,294.3,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,"InChI=1S/C14H18N2O5/c1-21-14(20)11(7-9-5-3-2-4-6-9)16-13(19)10(15)8-12(17)18/h2-6,10-11H,7-8,15H2,1H3,(H,16,19)(H,17,18)/t10-,11-/m0/s1",IAOZJIPTCAWIRG-QWRGUYRKSA-N,(3S)-3-amino-4-[[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid,-2.7,294.1215717,294.1215717,119,380,0,3,6,8,21,0,2,2,0,0,0,0,1
8785,C9H10O2,150.17,CC(=O)OCC1=CC=CC=C1,CC(=O)OCC1=CC=CC=C1,"InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3",QUKGYYKBILRGFE-UHFFFAOYSA-N,benzyl acetate,2,150.0680796,150.0680796,26.3,126,0,0,2,3,11,0,0,0,0,0,0,0,1
7503,C7H7Cl,126.58,C1=CC=C(C=C1)CCl,C1=CC=C(C=C1)CCl,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",KCXMKQUNVWSEMD-UHFFFAOYSA-N,chloromethylbenzene,2.3,126.0236279,126.0236279,0,55,0,0,0,1,8,0,0,0,0,0,0,0,1
