chid,casn,dsstox_substance_id,casn_normalized,PUBCHEM_CID
537191.0,568550-25-4,DTXSID70537191,568550-25-4,
880025.0,335-95-5,DTXSID40880025,335-95-5,
558000.0,57678-01-0,DTXSID90558000,57678-01-0,
380798.0,330562-44-2,DTXSID00380798,330562-44-2,
61954.0,1765-48-6,DTXSID5061954,1765-48-6,
880026.0,2395-00-8,DTXSID00880026,2395-00-8,
60986.0,678-95-5,DTXSID5060986,678-95-5,
880144.0,663-35-4,DTXSID20880144,663-35-4,
223797.0,73609-36-6,DTXSID00223797,73609-36-6,
224331.0,7383-71-3,DTXSID10224331,7383-71-3,
379254.0,1765-92-0,DTXSID10379254,1765-92-0,
59928.0,377-38-8,DTXSID8059928,377-38-8,
880156.0,2043-52-9,DTXSID90880156,2043-52-9,
440585.0,133331-77-8,DTXSID20440585,133331-77-8,
379666.0,53296-64-3,DTXSID40379666,53296-64-3,
340244.0,424-16-8,DTXSID30340244,424-16-8,
68772.0,52591-27-2,DTXSID1068772,52591-27-2,
396867.0,90177-96-1,DTXSID30396867,90177-96-1,
235137.0,85857-17-6,DTXSID40235137,85857-17-6,
379884.0,54009-81-3,DTXSID00379884,54009-81-3,
63235.0,3934-23-4,DTXSID5063235,3934-23-4,
369896.0,754-96-1,DTXSID50369896,754-96-1,
59871.0,354-76-7,DTXSID0059871,354-76-7,
59926.0,376-73-8,DTXSID8059926,376-73-8,
59969.0,422-63-9,DTXSID9059969,422-63-9,
379991.0,1651-41-8,DTXSID10379991,1651-41-8,
377821.0,3792-02-7,DTXSID60377821,3792-02-7,
40150.0,355-46-4,DTXSID7040150,355-46-4,
59920.0,375-92-8,DTXSID8059920,375-92-8,
337446.0,34143-74-3,DTXSID20337446,34143-74-3,
59919.0,375-88-2,DTXSID9059919,375-88-2,
382620.0,812-70-4,DTXSID90382620,812-70-4,
27831.0,24448-09-7,DTXSID7027831,24448-09-7,
892442.0,13252-14-7,DTXSID00892442,13252-14-7,
44969.0,63863-43-4,DTXSID8044969,63863-43-4,
59832.0,335-99-9,DTXSID9059832,335-99-9,
27140.0,307-35-7,DTXSID5027140,307-35-7,
59927.0,376-90-9,DTXSID3059927,376-90-9,
379721.0,2264-01-9,DTXSID80379721,2264-01-9,
37708.0,3825-26-1,DTXSID8037708,3825-26-1,
381090.0,129301-42-4,DTXSID70381090,129301-42-4,
61881.0,1682-31-1,DTXSID9061881,1682-31-1,
51419.0,1652-63-7,DTXSID8051419,1652-63-7,
59799.0,307-98-2,DTXSID5059799,307-98-2,
192353.0,39108-34-4,DTXSID00192353,39108-34-4,
30030.0,375-73-5,DTXSID5030030,375-73-5,
378880.0,74427-22-8,DTXSID30378880,74427-22-8,
59828.0,335-58-0,DTXSID5059828,335-58-0,
47558.0,2144-53-8,DTXSID3047558,2144-53-8,
62122.0,2043-47-2,DTXSID1062122,2043-47-2,
400587.0,13485-61-5,DTXSID60400587,13485-61-5,
892417.0,679-12-9,DTXSID50892417,679-12-9,
880134.0,374-40-3,DTXSID70880134,374-40-3,
67331.0,27619-97-2,DTXSID6067331,27619-97-2,
190950.0,375-82-6,DTXSID00190950,375-82-6,
881157.0,94159-84-9,DTXSID80881157,94159-84-9,
868151.0,72629-94-8,DTXSID90868151,72629-94-8,
74915.0,51851-37-7,DTXSID1074915,51851-37-7,
276659.0,65294-16-8,DTXSID70276659,65294-16-8,
375107.0,423-65-4,DTXSID80375107,423-65-4,
59921.0,376-06-7,DTXSID3059921,376-06-7,
60965.0,662-50-0,DTXSID2060965,662-50-0,
62599.0,2706-90-3,DTXSID6062599,2706-90-3,
381151.0,307-31-3,DTXSID70381151,307-31-3,
59834.0,338-83-0,DTXSID9059834,338-83-0,
315130.0,423-60-9,DTXSID90315130,423-60-9,
31865.0,335-67-1,DTXSID8031865,335-67-1,
44572.0,647-42-7,DTXSID5044572,647-42-7,
74616.0,21652-58-4,DTXSID7074616,21652-58-4,
380390.0,79963-95-4,DTXSID60380390,79963-95-4,
59916.0,375-22-4,DTXSID4059916,375-22-4,
395037.0,58244-27-2,DTXSID30395037,58244-27-2,
67629.0,31506-32-8,DTXSID1067629,31506-32-8,
66215.0,17587-22-3,DTXSID3066215,17587-22-3,
59914.0,375-01-9,DTXSID4059914,375-01-9,
310730.0,355-66-8,DTXSID80310730,355-66-8,
37707.0,29420-49-3,DTXSID3037707,29420-49-3,23675274.0
47566.0,355-43-1,DTXSID7047566,355-43-1,
61753.0,1522-22-1,DTXSID4061753,1522-22-1,
380257.0,243139-64-2,DTXSID40380257,243139-64-2,
377826.0,355-27-1,DTXSID60377826,355-27-1,
880413.0,38565-52-5,DTXSID30880413,38565-52-5,
379295.0,77953-71-0,DTXSID70379295,77953-71-0,
194615.0,4180-26-1,DTXSID00194615,4180-26-1,
65586.0,13695-31-3,DTXSID3065586,13695-31-3,
382063.0,151772-58-6,DTXSID30382063,151772-58-6,
379901.0,50836-66-3,DTXSID60379901,50836-66-3,
382621.0,25600-66-2,DTXSID50382621,25600-66-2,
47578.0,2043-55-2,DTXSID1047578,2043-55-2,
174941.0,20825-07-4,DTXSID90174941,20825-07-4,
204489.0,559-14-8,DTXSID40204489,559-14-8,
37303.0,375-85-9,DTXSID1037303,375-85-9,
31860.0,335-76-2,DTXSID3031860,335-76-2,
880230.0,19932-26-4,DTXSID70880230,19932-26-4,
191136.0,377-73-1,DTXSID70191136,377-73-1,
379268.0,356-02-5,DTXSID00379268,356-02-5,
67348.0,27905-45-9,DTXSID5067348,27905-45-9,
379781.0,6588-63-2,DTXSID80379781,6588-63-2,
874028.0,914637-49-3,DTXSID20874028,914637-49-3,
47553.0,2058-94-8,DTXSID8047553,2058-94-8,
382104.0,865-79-2,DTXSID30382104,865-79-2,
59879.0,355-80-6,DTXSID0059879,355-80-6,
195123.0,423-54-1,DTXSID60195123,423-54-1,
37706.0,2795-39-3,DTXSID8037706,2795-39-3,23669238.0
179883.0,252237-40-4,DTXSID20179883,252237-40-4,
663110.0,801212-59-9,DTXSID60663110,801212-59-9,
27426.0,1691-99-2,DTXSID6027426,1691-99-2,
375106.0,55621-21-1,DTXSID20375106,55621-21-1,
469320.0,41997-13-1,DTXSID50469320,41997-13-1,
891564.0,757124-72-4,DTXSID30891564,757124-72-4,
59794.0,307-34-6,DTXSID0059794,307-34-6,
382147.0,125070-38-4,DTXSID10382147,125070-38-4,
379269.0,679-02-7,DTXSID60379269,679-02-7,
880215.0,13252-13-6,DTXSID70880215,13252-13-6,
37709.0,3871-99-6,DTXSID3037709,3871-99-6,23678874.0
500450.0,863090-89-5,DTXSID60500450,863090-89-5,
31864.0,1763-23-1,DTXSID3031864,1763-23-1,74483.0
32646.0,4151-50-2,DTXSID1032646,4151-50-2,77797.0
381992.0,883498-76-8,DTXSID50381992,883498-76-8,
59912.0,374-98-1,DTXSID4059912,374-98-1,
29904.0,678-39-7,DTXSID7029904,678-39-7,
380797.0,147492-57-7,DTXSID40380797,147492-57-7,
375114.0,330562-41-9,DTXSID50375114,330562-41-9,
366226.0,355-81-7,DTXSID70366226,355-81-7,
382093.0,31253-34-6,DTXSID80382093,31253-34-6,
60332.0,559-94-4,DTXSID7060332,559-94-4,
170109.0,1763-28-6,DTXSID30170109,1763-28-6,
59833.0,336-08-3,DTXSID4059833,336-08-3,
627108.0,80220-63-9,DTXSID30627108,80220-63-9,
38939.0,754-91-6,DTXSID3038939,754-91-6,
31863.0,375-95-1,DTXSID8031863,375-95-1,
60985.0,678-77-3,DTXSID0060985,678-77-3,
59970.0,422-64-0,DTXSID8059970,422-64-0,
31862.0,307-24-4,DTXSID3031862,307-24-4,67542.0
400078.0,3834-42-2,DTXSID70400078,3834-42-2,
442840.0,329710-76-1,DTXSID00442840,329710-76-1,
46614.0,28523-86-6,DTXSID8046614,28523-86-6,
861913.0,375-72-4,DTXSID20861913,375-72-4,
370988.0,15242-17-8,DTXSID10370988,15242-17-8,
379270.0,355-95-3,DTXSID70379270,355-95-3,
379359.0,239795-57-4,DTXSID50379359,239795-57-4,
46516.0,333-36-8,DTXSID5046516,333-36-8,
73901.0,406-58-6,DTXSID5073901,406-58-6,
335700.0,424-18-0,DTXSID20335700,424-18-0,
441560.0,132424-36-3,DTXSID50441560,132424-36-3,
190946.0,375-02-0,DTXSID10190946,375-02-0,
870515.0,356-42-3,DTXSID70870515,356-42-3,
42326.0,163702-08-7,DTXSID5042326,163702-08-7,
59881.0,356-24-1,DTXSID4059881,356-24-1,
379730.0,813-03-6,DTXSID70379730,813-03-6,
74059.0,56860-81-2,DTXSID0074059,56860-81-2,
61826.0,1623-05-8,DTXSID0061826,1623-05-8,
285748.0,374-41-4,DTXSID90285748,374-41-4,
47575.0,19430-93-4,DTXSID6047575,19430-93-4,
275806.0,1694-30-0,DTXSID90275806,1694-30-0,
218052.0,678-78-4,DTXSID50218052,678-78-4,
73118.0,163702-05-4,DTXSID0073118,163702-05-4,
379850.0,1767-94-8,DTXSID10379850,1767-94-8,
481246.0,1619-92-7,DTXSID70481246,1619-92-7,
337466.0,2648-47-7,DTXSID20337466,2648-47-7,
27414.0,1563-38-8,DTXSID2027414,1563-38-8,
21209.0,51-52-5,DTXSID5021209,51-52-5,657298.0
893171.0,6754-58-1,DTXSID00893171,6754-58-1,
872663.0,33171-05-0,DTXSID00872663,33171-05-0,
41035.0,23513-14-6,DTXSID3041035,23513-14-6,
30636.0,25316-40-9,DTXSID3030636,25316-40-9,
865801.0,36062-04-1,DTXSID30865801,36062-04-1,
31077.0,458-37-7,DTXSID8031077,458-37-7,
42196.0,138-22-7,DTXSID7042196,138-22-7,
24586.0,95-16-9,DTXSID7024586,95-16-9,
29170.0,141-79-7,DTXSID1029170,141-79-7,
41604.0,540-18-1,DTXSID4041604,540-18-1,
33371.0,96-41-3,DTXSID1033371,96-41-3,
23845.0,208-96-8,DTXSID3023845,208-96-8,
21869.0,106-44-5,DTXSID7021869,106-44-5,
