PUBCHEM_CID,SMILES
2018,CC(=O)NC1=CC=C(C=C1)CC(=O)O
44073,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)O
62477,CCOC(C=C)OCC
564,C(CCC(=O)O)CCN
3446,C1CCC(CC1)(CC(=O)O)CN
1639,C1=NNC(=N1)N
23667548,C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+]
134601,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
8785,CC(=O)OCC1=CC=CC=C1
7503,C1=CC=C(C=C1)CCl
2346,C1=CC=C(C=C1)CN=C=S
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
5284360,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O
6945,C1=CC=C(C(=C1)[N+](=O)[O-])Cl
7255,CC1=C(C=C(C=C1)N)Cl
18487,CC1=C(C=CC(=C1)Cl)N.Cl
8800,CN(C)C(=O)NC1=CC=C(C=C1)Cl
6423,C([N+](=O)[O-])(Cl)(Cl)Cl
15910,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl
2723770,C1CCC(CC1)N.Cl
14500,C1CCC(=NO)C1
5284373,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
60960,C(C(C(=O)O)N)S.Cl
2942,CN(C)N=NC1=C(NC=N1)C(=O)N
8427,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
3120,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
6564,CC(CCl)Cl
12958,COP(=O)(C)OC
8441,COC(=O)C1=CC=C(C=C1)C(=O)OC
1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
8819,C1CN(CCN1N=O)N=O
