,feature,importance
2049,XLogP,0.0375719503100115
2103,Neg_Surface_Area,0.026298977196761667
2048,MolecularWeight,0.022811796340104055
2121,HeavyAtomCount__dup2,0.021458154194039826
2076,HOMO_number,0.020274167801339376
2050,ExactMass,0.01933123435548985
2074,Weight,0.01932452974761246
2078,HOMO_LUMO_Gap,0.0187725979056603
2097,Volume,0.0183572196758395
2101,Overall_Surface_Area,0.01827287990633527
2122,HeavyAtomCount__dup3,0.016761606359976432
2051,MonoisotopicMass,0.015825082533736035
2058,HeavyAtomCount__dup1,0.015545866581403358
2086,Mol_Radius,0.014745113806938506
2077,LUMO,0.014464592737012581
2089,Mol_Size_L,0.014148221491076005
2088,Mol_Size_2,0.014034186568963866
2073,AtomNum,0.013828577288691463
2087,Mol_Size_Short,0.013097979371634394
2109,Pi,0.012533890281471114
2083,ODI_Mean,0.012381432490593626
2053,Complexity,0.01157347133959246
2079,ODI_HOMO_1,0.01156639030585467
2080,ODI_HOMO,0.011420575471025261
2107,Overall_Variance,0.010923885373930459
2084,ODI_Std,0.010666954129469698
2106,Neg_Average,0.010381665624141506
2092,MPP,0.010381380066463995
2093,SDP,0.01028895645258304
2102,Pos_Surface_Area,0.010019576790062828
2085,Farthest_Distance,0.010017315088461964
1873,FP_1873,0.009264213782114538
2110,MPI,0.009172442797153962
2099,ESPmin,0.00901596493834648
2115,ALIE_Ave,0.008901636619931912
2075,HOMO,0.008794548028255631
2057,HeavyAtomCount,0.00870888892418318
2098,Density,0.008660627408472892
2081,ODI_LUMO,0.008630169960473886
2111,Nonpolar_Area,0.008510478941001877
2112,Polar_Area,0.007763088864405555
2095,Quadrupole_Moment,0.007732652909389174
2096,Octopole_Moment,0.007641878241476397
2105,Pos_Average,0.007612373778895877
2118,LEAmax,0.007404073147572988
2100,ESPmax,0.007384650466887707
2113,ALIEmin,0.007301921932165278
2082,ODI_LUMO_Add1,0.007233572768144831
2119,LEA_Ave,0.007217298557780733
2052,TPSA,0.006885466942372529
2114,ALIEmax,0.0068511399095392824
2120,LEA_Var,0.0067688697274531865
2117,LEAmin,0.006665720350680111
2104,Overall_Average,0.006650014016022883
2094,Dipole_Moment,0.006307455203789915
2090,Length_Ratio,0.006123569624790174
2116,ALIE_Var,0.00600813601794016
1380,FP_1380,0.005837933105304227
2091,Len_Div_Diameter,0.005242629095285364
2056,RotatableBondCount,0.004542432465199599
2108,Nu,0.0044142991855152715
2055,HBondAcceptorCount,0.004189692163001276
2054,HBondDonorCount,0.003882321280378633
875,FP_0875,0.003288654621946754
1750,FP_1750,0.003240817850445792
561,FP_0561,0.0025353547708357065
1199,FP_1199,0.002392862587337057
2124,AtomStereoCount__dup3,0.002205259215013429
1171,FP_1171,0.0020952286932424593
1602,FP_1602,0.001999726068377726
80,FP_0080,0.0019590205881568823
2062,DefinedAtomStereoCount__dup1,0.0019193896963894672
2060,AtomStereoCount__dup1,0.0019126171574605551
2059,AtomStereoCount,0.001880571187926498
1088,FP_1088,0.0018233534971861714
2123,AtomStereoCount__dup2,0.001623896828234334
1855,FP_1855,0.0013561744422373673
1057,FP_1057,0.0013495525082394633
2125,DefinedAtomStereoCount__dup2,0.0013420669662900727
1917,FP_1917,0.0013160360880005045
1683,FP_1683,0.001298114226419113
650,FP_0650,0.0012782888297863165
2126,DefinedAtomStereoCount__dup3,0.0010634545037432705
2061,DefinedAtomStereoCount,0.0010289014155246772
389,FP_0389,0.0010144191971471774
222,FP_0222,0.0010049280869827855
816,FP_0816,0.000979717164977914
322,FP_0322,0.00096901227923398
753,FP_0753,0.0009657395799633535
366,FP_0366,0.0009643042590310895
2064,UndefinedAtomStereoCount__dup1,0.0009594434640966022
807,FP_0807,0.0009293817268196029
838,FP_0838,0.0009276328078912555
197,FP_0197,0.0008764890157696089
2071,CovalentUnitCount,0.0008688630937690134
1152,FP_1152,0.0008628304505068769
2066,BondStereoCount__dup1,0.0008596355266149931
1195,FP_1195,0.0008316046657379096
1,FP_0001,0.0008175809165196562
1357,FP_1357,0.0008073062203863263
2065,BondStereoCount,0.0007871059960582544
2127,UndefinedAtomStereoCount__dup2,0.0007832067069999601
2135,CovalentUnitCount__dup2,0.0007813169785387737
1417,FP_1417,0.0007781420247715123
935,FP_0935,0.0007763780976982827
1963,FP_1963,0.0007710111805858993
695,FP_0695,0.0007691454077088693
1143,FP_1143,0.0007531178519080911
2128,UndefinedAtomStereoCount__dup3,0.0007447168388420304
216,FP_0216,0.0007344013712977322
1607,FP_1607,0.0007308276955140144
2063,UndefinedAtomStereoCount,0.0007234907097150647
519,FP_0519,0.0007172954308999155
378,FP_0378,0.0007114516573592813
926,FP_0926,0.000700713004834778
2072,CovalentUnitCount__dup1,0.0007005809957431975
1162,FP_1162,0.0006909075402267953
1522,FP_1522,0.0006898418123535634
294,FP_0294,0.0006885582177880705
350,FP_0350,0.0006874457901485014
718,FP_0718,0.0006865508176983025
2130,BondStereoCount__dup3,0.0006853387105424793
835,FP_0835,0.0006757207481186269
140,FP_0140,0.0006696898233118597
794,FP_0794,0.0006584509269220529
1039,FP_1039,0.0006549372311258094
1722,FP_1722,0.0006391082765789251
1928,FP_1928,0.0006307348287846995
716,FP_0716,0.0006287568661583031
114,FP_0114,0.0006231227661870041
1274,FP_1274,0.0006192143897410062
456,FP_0456,0.0006102545133134494
97,FP_0097,0.0006019275485022428
841,FP_0841,0.0006016138579944785
1738,FP_1738,0.0005993972202864333
1911,FP_1911,0.0005930095506713271
1019,FP_1019,0.0005883132969949634
1160,FP_1160,0.000579007888071019
2136,CovalentUnitCount__dup3,0.0005747932123612951
41,FP_0041,0.0005747381523302401
314,FP_0314,0.0005731580912128951
354,FP_0354,0.0005686160075493922
1349,FP_1349,0.0005644885594328794
227,FP_0227,0.0005596535887052608
2129,BondStereoCount__dup2,0.0005540679932935944
1017,FP_1017,0.0005477602036951581
1697,FP_1697,0.0005455000740512458
2067,DefinedBondStereoCount,0.0005430290644201897
1737,FP_1737,0.0005421702699838792
1060,FP_1060,0.0005414933626029273
283,FP_0283,0.0005407266887851277
1476,FP_1476,0.000530381316420638
392,FP_0392,0.0005244784871125743
1455,FP_1455,0.0005241162457766438
1004,FP_1004,0.0005169584748865943
165,FP_0165,0.0005164006863238339
1516,FP_1516,0.0005155243712155404
1114,FP_1114,0.0005151237927544836
1970,FP_1970,0.000514302480975806
1325,FP_1325,0.000513104013923548
145,FP_0145,0.0005097663214807151
1457,FP_1457,0.0005066092006269077
529,FP_0529,0.0005039041036462992
504,FP_0504,0.0005003819635047965
1754,FP_1754,0.000500033245005411
2131,DefinedBondStereoCount__dup2,0.0004961725189727536
1444,FP_1444,0.0004941596479908981
116,FP_0116,0.000493999443137851
319,FP_0319,0.000490064950632921
715,FP_0715,0.00048768877877897556
694,FP_0694,0.0004870146712207875
1391,FP_1391,0.0004830985245481921
202,FP_0202,0.0004813408345999339
1385,FP_1385,0.00047948687513938766
883,FP_0883,0.00047908944429199624
