,feature,importance
2121,HeavyAtomCount__dup2,0.16575122
2057,HeavyAtomCount,0.059804477
2058,HeavyAtomCount__dup1,0.059590314
2048,MolecularWeight,0.054317053
2103,Neg_Surface_Area,0.052381165
2053,Complexity,0.045168575
2049,XLogP,0.034878556
2074,Weight,0.020323712
1873,FP_1873,0.01988904
1380,FP_1380,0.017012076
2078,HOMO_LUMO_Gap,0.016580544
2109,Pi,0.016386265
2088,Mol_Size_2,0.016164722
1750,FP_1750,0.014870388
2051,MonoisotopicMass,0.014524961
2107,Overall_Variance,0.0132747535
2076,HOMO_number,0.011652343
2097,Volume,0.011178768
2050,ExactMass,0.010735081
2101,Overall_Surface_Area,0.010680832
875,FP_0875,0.009663966
2110,MPI,0.009511708
2106,Neg_Average,0.009511265
2077,LUMO,0.009261261
2089,Mol_Size_L,0.009244304
2098,Density,0.009088582
2092,MPP,0.008386123
2099,ESPmin,0.008251076
2093,SDP,0.007977354
1274,FP_1274,0.007952278
2095,Quadrupole_Moment,0.0077884286
2085,Farthest_Distance,0.0075512608
2086,Mol_Radius,0.0074005453
2073,AtomNum,0.0070434674
197,FP_0197,0.0070024845
2083,ODI_Mean,0.006927416
519,FP_0519,0.0063479375
2115,ALIE_Ave,0.006214864
2084,ODI_Std,0.0060479306
2080,ODI_HOMO,0.005920283
2052,TPSA,0.005901912
80,FP_0080,0.005892737
2105,Pos_Average,0.005761971
561,FP_0561,0.0056624054
1436,FP_1436,0.005618109
529,FP_0529,0.0054560197
2102,Pos_Surface_Area,0.005363195
2111,Nonpolar_Area,0.005299886
1602,FP_1602,0.0052503906
84,FP_0084,0.0051770443
2054,HBondDonorCount,0.005092291
2118,LEAmax,0.0048481086
2087,Mol_Size_Short,0.0047769183
2090,Length_Ratio,0.004437386
1802,FP_1802,0.0044021625
2056,RotatableBondCount,0.004272451
2075,HOMO,0.0042399876
1073,FP_1073,0.0042154286
2096,Octopole_Moment,0.0041963495
2112,Polar_Area,0.0041365675
531,FP_0531,0.003909642
